Type,ICC,F,df1,df2,pval,CI95
"ICC(1,1)",0.7583145063836496,16.68804347826088,3,16,3.5001705703160994e-05,[0.38 0.98]
"ICC(A,1)",0.7690086621751686,395.3562231759704,3,12,2.948357816863472e-12,[0.26 0.98]
"ICC(C,1)",0.9874798495432565,395.3562231759704,3,12,2.948357816863472e-12,[0.95 1.  ]
"ICC(1,k)",0.940076857943073,16.68804347826088,3,16,3.5001705703160994e-05,[0.76 1.  ]
"ICC(A,k)",0.9433293978748525,395.3562231759704,3,12,2.948357816863472e-12,[0.64 1.  ]
"ICC(C,k)",0.9974706354892638,395.3562231759704,3,12,2.948357816863472e-12,[0.99 1.  ]
