,Type,ICC,F,df1,df2,pval,CI95
0,"ICC(1,1)",0.9061303884043421,78.22459893048128,3,28,1.0057766738274455e-13,[0.72 0.99]
1,"ICC(A,1)",0.9065244816833687,122.09379968203497,3,21,1.8883419825975584e-13,[0.71 0.99]
2,"ICC(C,1)",0.9380295566502463,122.09379968203497,3,21,1.8883419825975584e-13,[0.79 1.  ]
3,"ICC(1,k)",0.9872162975116215,78.22459893048128,3,28,1.0057766738274455e-13,[0.95 1.  ]
4,"ICC(A,k)",0.9872747481359304,122.09379968203497,3,21,1.8883419825975584e-13,[0.95 1.  ]
5,"ICC(C,k)",0.9918095758948918,122.09379968203497,3,21,1.8883419825975584e-13,[0.97 1.  ]
