,Type,ICC,F,df1,df2,pval,CI95
0,"ICC(1,1)",0.8861155656717183,55.46581875993609,3,24,6.095175461966334e-11,[0.67 0.99]
1,"ICC(A,1)",0.8878288007133298,906.1818181817175,3,18,8.097815166406633e-20,[0.56 0.99]
2,"ICC(C,1)",0.9923260912896146,906.1818181817175,3,18,8.097815166406633e-20,[0.97 1.  ]
3,"ICC(1,k)",0.9819708782389359,55.46581875993609,3,24,6.095175461966334e-11,[0.93 1.  ]
4,"ICC(A,k)",0.9822709528305875,906.1818181817175,3,18,8.097815166406633e-20,[0.9 1. ]
5,"ICC(C,k)",0.9988964686998394,906.1818181817175,3,18,8.097815166406633e-20,[1. 1.]
