,original_filename,mean_count,std_count,cv_percentage
0,16GRAY_045-cropped,62.375,4.779046527738113,7.661798040461905
1,1GRAY_030-cropped,56.0,1.927248223318863,3.4415146844979696
2,4GRAY_000-cropped,74.375,2.8252686345094435,3.798680516987487
3,9GRAY_015-cropped,79.25,3.494894235064305,4.409961179891867
