,Type,ICC,F,df1,df2,pval,CI95
0,"ICC(1,1)",0.9563347539713288,154.31055900621047,3,24,8.0920465615710755e-16,[0.85 1.  ]
1,"ICC(A,1)",0.9565386922615474,622.8300835654437,3,18,2.2999440681089722e-18,[0.81 1.  ]
2,"ICC(C,1)",0.9888682170542632,622.8300835654437,3,18,2.2999440681089722e-18,[0.96 1.  ]
3,"ICC(1,k)",0.9935195620673,154.31055900621047,3,24,8.0920465615710755e-16,[0.98 1.  ]
4,"ICC(A,k)",0.993551000062309,622.8300835654437,3,18,2.2999440681089722e-18,[0.97 1.  ]
5,"ICC(C,k)",0.9983944256605662,622.8300835654437,3,18,2.2999440681089722e-18,[0.99 1.  ]
