,Type,ICC,F,df1,df2,pval,CI95
0,"ICC(1,1)",0.8699046169141863,54.49334288614246,3,28,8.231820988770879e-12,[0.64 0.99]
1,"ICC(A,1)",0.8706091390165708,81.92343595727493,3,21,9.34856100911805e-12,[0.63 0.99]
2,"ICC(C,1)",0.9100349653173123,81.92343595727493,3,21,9.34856100911805e-12,[0.72 0.99]
3,"ICC(1,k)",0.981649134609169,54.49334288614246,3,28,8.231820988770879e-12,[0.93 1.  ]
4,"ICC(A,k)",0.9817612001084594,81.92343595727493,3,21,9.34856100911805e-12,[0.93 1.  ]
5,"ICC(C,k)",0.9877934807260583,81.92343595727493,3,21,9.34856100911805e-12,[0.95 1.  ]
