,Type,ICC,F,df1,df2,pval,CI95
0,"ICC(1,1)",0.831579558484158,40.500172354360565,3,28,2.572555035179005e-10,[0.56 0.99]
1,"ICC(A,1)",0.834761381667277,474.5741488747836,3,21,1.9087531637076857e-19,[0.48 0.99]
2,"ICC(C,1)",0.983387812616827,474.5741488747836,3,21,1.9087531637076857e-19,[0.94 1.  ]
3,"ICC(1,k)",0.9753087470529658,40.500172354360565,3,28,2.572555035179005e-10,[0.91 1.  ]
4,"ICC(A,k)",0.9758540613618609,474.5741488747836,3,21,1.9087531637076857e-19,[0.88 1.  ]
5,"ICC(C,k)",0.9978928477196429,474.5741488747836,3,21,1.9087531637076857e-19,[0.99 1.  ]
