Type,ICC,F,df1,df2,pval,CI95
"ICC(1,1)",0.9525112685125567,101.28813559322106,3,16,1.2790935075086762e-10,[0.83 1.  ]
"ICC(A,1)",0.9528031464569032,290.33198380567563,3,12,1.8367333008695783e-11,[0.77 1.  ]
"ICC(C,1)",0.9830123796423663,290.33198380567563,3,12,1.8367333008695783e-11,[0.93 1.  ]
"ICC(1,k)",0.9901271753681392,101.28813559322106,3,16,1.2790935075086762e-10,[0.96 1.  ]
"ICC(A,k)",0.9901902373463761,290.33198380567563,3,12,1.8367333008695783e-11,[0.94 1.  ]
"ICC(C,k)",0.9965556671128961,290.33198380567563,3,12,1.8367333008695783e-11,[0.98 1.  ]
