Type,ICC,F,df1,df2,pval,CI95
"ICC(1,1)",0.9786799669216456,230.52121212121313,3,16,2.259299937882955e-13,[0.92 1.  ]
"ICC(A,1)",0.9787384833451452,650.1880341880443,3,12,1.5284761384434773e-13,[0.89 1.  ]
"ICC(C,1)",0.992356937548994,650.1880341880443,3,12,1.5284761384434773e-13,[0.97 1.  ]
"ICC(1,k)",0.9956620044168683,230.52121212121313,3,16,2.259299937882955e-13,[0.98 1.  ]
"ICC(A,k)",0.9956741167988464,650.1880341880443,3,12,1.5284761384434773e-13,[0.98 1.  ]
"ICC(C,k)",0.9984619833841624,650.1880341880443,3,12,1.5284761384434773e-13,[0.99 1.  ]
